0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95
4,5,3,3,5,7,0,6,6,4,5,3,2,4,7,5,6,6,5,6,6,2,7,8,5,4,10,2,7,3,5,6,6,4,10,10,8,6,4,3,3,5,6,6,7,10,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2,2,8,7,14,6,7,6,5,16,4,19,13,6,6,7,15,9,7,5,6,7,8,12,9,16,4,4,17,14,9,15,8,10,3,5,13,8,15,19,16,15,27,4,7,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,4,5,5,2,3,3,3,2,2,2,3,4,4,9,3,6,4,6,4,3,3,3,4,3,3,3,4,3,3,4,4,4,4,1,3,2,3,3,5,7,5,6,5,6,6,6,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,7,7,4,5,5,4,4,5,10,12,12,10,10,4,5,6,6,5,5,4,5,7,5,5,11,5,6,6,6,6,7,7,6,7,7,8,8,8,7,9,3,2,3,4,6,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,6,6,4,5,4,3,8,6,8,9,8,8,4,4,5,4,6,7,5,5,4,5,6,6,6,4,5,3,2,4,4,5,6,5,6,9,6,5,6,8,5,3,5,5,2,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,5,5,9,7,4,4,5,7,7,5,7,4,4,3,4,8,9,4,3,4,3,3,5,4,6,8,3,3,13,3,3,5,4,4,4,6,3,12,7,8,6,7,7,8,8,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,9,5,5,5,4,1,4,2,6,12,5,2,6,4,6,4,4,3,7,10,6,7,4,8,12,4,8,9,6,8,5,9,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,4,2,5,5,4,3,4,3,4,4,5,3,5,5,5,2,8,6,9,9,9,11,3,3,4,3,5,7,6,5,9,5,8,9,8,5,2,7,4,7,6,8,8,2,3,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,7,7,6,8,7,9,9,7,5,8,7,9,8,11,14,17,6,8,9,9,9,12,9,13,6,8,12,13,9,11,11,8,14,13,28,9,8,11,13,12,8,12,13,12,12,7,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,7,6,7,10,10,8,11,8,9,10,15,13,20,18,17,15,19,14,24,17,13,18,22,21,22,25,11,11,24,22,11,14,10,10,9,16,17,17,22,21,27,28,20,14,14,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,11,8,13,12,16,16,18,17,18,19,14,14,15,16,18,21,18,16,18,19,21,23,21,17,19,20,22,25,23,31,23,21,19,16,30,24,26,28,24,30,22,26,30,25,24,26,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3,5,6,5,7,8,5,3,6,4,7,6,3,4,5,4,4,9,10,8,6,9,4,5,3,7,5,5,6,3,5,6,7,10,5,7,7,9,8,9,6,13,8,11,15,12,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,3,27,12,20,17,7,23,13,12,14,9,8,24,7,13,16,15,25,23,23,18,7,4,15,7,5,6,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2,2,2,1,2,2,2,2,2,2,2,3,3,3,3,4,4,5,4,4,4,10,6,8,4,4,3,4,10,5,3,3,4,6,5,8,11,3,3,3,3,7,7,5,8,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
